UNITSB1,UNITSB2,UNITSB3,UNITSB4,UNITSB5,UNITSB6,UNITSB7,UNITSB8,UNITSB9,UNITSB10,UNITSB11,UNITSB12,UNITSB13,UNITSB14,UNITSB15,UNITSB16,UNITSB17,UNITSB18,UNITSB19,UNITSB20PL,CONCSSNUM,RCONTROL,OFFSTPARK,TOTCOLL,POTENTIAL,PERCCOMM,COMMRENT,HRSMNGMNT,OPPAY,OPINSUR,OPUTIL,OPREP,OPMNG,OPPROTH,OPSECUR,OPLAND,CPHEATAMT,CPRFAMT,CPWINAMT,CPDOORAMT,CPFLRAMT,CPEXTAMT,CPPLBAMT,CPELEAMT,CPKITAMT,CPBATAMT,CPSECAMT,CPSWIMAMT,CPPLGAMT,CPACCAMT,VOUCHNUM,SECT8NUM,PBS8VNUM,DEBTNUM,MTHMORT,MORTAMT,APPVAL,TERM,YRTRSRY,MTHTRSRY,PMTAMT,MORTAMT2,MORTAMT3,MORTAMT4,PMTAMT2,PMTAMT3,PMTAMT4,CURRATE_R,MARGINDEX_R,NUMUNITS_R,TRENOC_R,TRENNO_R,TRENVA_R,TOWNOC_R,TEMPOC_R,TEMPVA_R,TOWNVA_R,TOWNNO_R,TOTHVA_R,BED0_R,BED1_R,BED2_R,BED3_R,BED4_R,RENTNO_R,RENTLT200_R,RENT224_R,RENT249_R,RENT274_R,RENT299_R,RENT349_R,RENT399_R,RENT449_R,RENT499_R,RENT549_R,RENT599_R,RENT649_R,RENT699_R,RENT749_R,RENT799_R,RENT899_R,RENT999_R,RENT1099_R,RENT1499_R,RENT1999_R,RENT2499_R,RENT2500_R,MRKTVALPU_R,CAPEX_R,CAPEXPU_R,PURPRICE_R,MRKTVAL_R,OPOTHEX,CPOTHAMT,RENT1249_R,WEIGHT,CONTROLPUF,FMR22012,SURVYR,PROPOUT,PROPTYPE,FOVER20BLD,HOWMVAL,CONCSS,SENIOR,IELEC,IGAS,IWATER,ITRASH,IPARKING,IFITNESS,ILAUNDRY,IPOOL,IOTHFREE,COMMSPACE,MNGMNT,CPHEAT,CPROOF,CPWINDOW,CPDOOR,CPFLOOR,CPEXTER,CPPLUMB,CPELESYS,CPKITCH,CPBATH,CPSECSYS,CPSWIM,CPPLAYGR,CPACCESS,CPOTHUSC,OWNENT,VOUCHER,SECT8,PBS8V,GOVBELOW,RSUBSIDY,ELDERLY,LOWINCTC,GOVGRANT,TXCREDIT,TAXDEPREC,PRIVATE,BENEOTH,NOTSUBSDZ,DKSUBSDZ,HISTORIC,LOWINCTEN,LOWINAREA,ECONDEVLP,APPEAL,OTHRCV,DEBT,WHYNOMRT,MORTGAGE,CONTRACT,LINECRDT,OTHLOAN,GUARANTEE,CROSSCOLL,MOREPROPS,APPVALDK,MORTKIND,MORTGET,MORTPAY,DIFFLOAN,FIXADJ,ARM,TIED2INX,MRKTINX,REGPAY,PMTFREQ,RPIPRIN,RPIINT,RPIPRPINS,RPIPMI,RPIPRPTAX,RPIOTH,PMTFREQ2,PMTFREQ3,PMTFREQ4,RPIPRIN2,RPIINT2,RPIOTH2,RPIPRIN3,RPIINT3,RPIOTH3,RPIPRIN4,RPIINT4,RPIOTH4,INSURED2,INSURED3,INSURED4,OUTCOME,JROPOUT,JROPTYPE,JROLDBLG,JRNEWBLG,JRPROPACQ,JRSMNGMNT,JOMMSPACE,JOUCHER,JOUCHNUM,JECT8NUM,JECT8,JERCCOMM,JONCSS,JCONTROL,JTHEXP,JPHEAT,JPHEATAMT,JPROOF,JPWINDOW,JPDOOR,JPFLOOR,JPEXTER,JPPLUMB,JPELESYS,JPKITCH,JPBATH,JPSECSYS,JPSWIM,JPPLAYGR,JPACCESS,JPOTHUSC,JEBTNUM,JEBT,JRMORT,JIED2INX,JEGPAY,JIXADJ,JORTGAGE,JORTAMT,JPPVAL,JTHTRSRY,JPIOTH,JPIOTH2,JPIOTH3,JPIOTH4,NUMCAT_R,NUMBLD_R,YROLDBLG_R,YRNEWBLG_R,YRPROPACQ_R,YRMORT1_R,YRMORT2_R,YRMORT3_R,YRMORT4_R,OPTAX_R,INSURED_R
30,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,30,167403,169476,-9,0,108,34000,9000,25000,24000,0,8000,0,5000,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-9,-9,30,29,0,0,0,1,0,0,0,0,0,29,1,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,133333,-8,-8,180000,4000000,-9,-8,0,99.90052229,9999000102,700,2012,3,2,-8,8,1,1,2,1,1,1,1,2,-9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,2,-9,1,1,-9,-9,-9,-9,-9,-9,-9,-9,2,1,2,2,1,-9,1,-8,2,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,501,-9,-9,-9,-9,1,-9,1,-9,-9,-9,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,1,11,-8,8,-9,-8,-8,-8,0,-9
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,76,182400,187140,-8,-8,-8,15000,10000,0,10000,0,0,0,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,10,-8,-8,1,11,2000000,2000000,30,-8,-8,5000,-8,-8,-8,-8,-8,-8,7.5,-8,40,38,1,0,0,1,0,0,0,0,0,26,14,0,0,1,0,0,0,0,0,0,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,-8,-8,2000000,2000000,-8,-8,0,190.5352932,9999000103,700,2012,3,2,-9,2,7,1,2,3,1,1,1,-9,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,-9,-9,-9,1,-9,-9,-9,-9,-9,-9,-9,2,2,2,2,2,2,1,-8,1,2,2,2,1,2,2,-8,4,1,1,2,1,-8,-8,-8,1,2,1,1,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,501,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,20,9,7,6,5,-8,-8,-8,11,1
22,22,12,12,24,24,24,24,28,28,26,26,26,26,26,-8,-8,-8,-8,-8,-8,0,757,3600000,4200000,-8,-8,-8,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,31000000,44600000,5,-8,-8,90417,-8,-8,-8,-8,-8,-8,3.5,-8,350,304,23,17,2,4,0,0,0,0,0,176,150,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,99,51,64,21,3,0,0,127429,-8,-8,44200000,44600000,-8,-8,86,3.404727669,9999000105,850,2012,3,2,-8,2,1,2,2,2,2,2,1,1,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,2,2,2,2,2,2,1,-8,1,2,2,2,2,2,2,-8,1,3,4,1,1,-8,-8,-8,1,2,-9,1,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,501,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,15,11,9,9,8,-8,-8,-8,0,8
36,36,36,38,40,40,40,32,81,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,0,900,4962000,4950000,-8,-8,-8,451203,77220,365421,79724,0,0,0,66000,-8,-8,-8,-8,42000,-8,-8,-8,75500,74300,-8,-8,-8,-8,-8,-8,-8,1,6,4200000,9700000,5,-8,-8,26500,-8,-8,-8,-8,-8,-8,4.25,-8,379,326,0,12,0,0,0,0,0,0,0,114,184,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,40,0,0,31662,191800,506,3600000,12000000,-9,-8,114,4.255580438,9999000107,1100,2012,3,2,-8,7,3,2,2,2,1,1,1,1,2,1,1,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,2,2,2,2,2,-9,1,-8,1,-9,-9,-9,2,2,2,-8,1,1,1,2,1,-8,-8,-8,1,2,1,1,1,-9,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,501,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,9,5,3,3,2,-8,-8,-8,18,8
2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,5400,10800,-8,-8,5,0,700,0,1100,0,500,0,2400,0,-8,200,300,300,200,200,2500,0,-8,-8,-8,-8,-8,-8,-8,-8,1,7,50000,90000,5,-8,-8,700,-8,-8,-8,-8,-8,-8,8,-8,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,3700,1850,0,-9,-9,-8,0,5011.319554,9999000108,800,2012,3,1,-8,-9,1,2,2,2,2,1,1,3,1,3,2,2,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,2,2,2,2,2,2,1,-8,1,2,2,2,1,2,2,-8,3,11,11,2,1,-8,-8,-8,1,2,1,1,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,503,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,-8,7,7,-8,-8,-8,3,8
106,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,214,991853,1075869,-8,-8,-8,64601,23263,63067,79329,41434,1394,3831,10503,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,11,6000000,9000000,10,-8,-8,369366,-8,-8,-8,-8,-8,-8,6,-8,106,102,0,2,1,1,0,0,0,0,0,34,48,24,0,2,0,0,0,0,0,0,0,0,0,0,0,8,16,6,4,36,22,12,0,0,0,0,113208,21357,201,9000000,12000000,-8,21357,0,360.7122509,9999000111,650,2012,3,2,-8,8,1,2,2,2,1,1,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,2,2,2,2,2,2,1,-8,1,2,2,2,2,2,2,-8,1,1,1,2,1,-8,-8,-8,1,2,1,1,1,-9,1,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,501,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,1,8,-8,5,4,-8,-8,-8,16,1
42,42,42,42,42,42,42,50,81,59,75,63,48,40,54,54,37,40,142,1079,-8,1249,300,23966005,26280695,3,60000,-8,2000000,-9,-9,-9,-9,-9,-9,-9,-8,841987,1197354,212409,-8,-8,722723,-8,-8,-8,-8,-8,-8,-8,315,100,-8,6,8,126000000,-9,-9,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-8,2116,1251,0,100,0,0,0,0,0,0,174,547,503,127,0,0,0,0,0,0,0,0,0,0,0,2,12,31,60,97,112,325,281,261,529,646,77,12,398449,2974473,1406,140000000,843119000,-8,-8,354,0.241487303,9999000114,1400,2012,3,2,1,2,1,2,1,1,1,1,2,2,2,3,3,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4,1,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,2,2,2,2,1,2,1,-8,1,2,2,1,2,2,2,1,1,12,12,2,1,-8,-8,-8,1,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,503,-9,-9,-9,1,-9,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,20,3,-9,6,5,-9,-9,-9,-9,4
6,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,6,22500,29880,-8,-8,30,0,1200,1020,0,0,1150,0,600,-8,-8,15000,-8,450,-8,-8,550,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-9,59000,-9,15,-8,-8,635,-8,-8,-8,-8,-8,-8,6,-8,6,5,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21667,18000,3000,79000,130000,-8,2000,0,1445.591302,9999000115,750,2012,3,2,-8,5,1,2,2,2,1,1,1,3,3,3,3,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,-9,2,2,2,2,2,2,1,-8,1,2,2,2,1,2,2,1,1,1,1,2,1,-8,-8,-8,1,2,1,1,-9,-9,-9,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,501,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,1,3,-8,5,7,-8,-8,-8,9,9
6,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,40000,42700,-8,-8,-9,0,3500,0,0,0,0,0,0,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,6,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,16667,-8,-8,65000,100000,-8,-8,0,1445.591302,9999000118,1300,2012,3,2,-8,8,1,2,2,2,1,1,2,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,2,2,2,2,2,2,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,503,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,1,3,-8,1,-8,-8,-8,-8,11,-8
29,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,0,35,348875,453200,15,-9,30,0,-9,-9,7900,-9,-9,-9,0,-9,-8,-8,-8,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,5,6000000,-9,10,-8,-8,30000,-8,-8,-8,-8,-8,-8,4.25,-8,29,23,0,5,0,1,0,0,0,0,0,26,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,2,0,0,155172,-9,-9,6000000,4500000,-8,-8,3,35.73801097,9999000122,1200,2012,3,2,-8,2,2,2,2,2,2,2,1,3,1,3,-9,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,2,2,2,2,2,-9,1,-8,1,2,2,2,2,2,2,1,1,1,1,1,1,-8,-8,-8,1,2,1,1,-9,-9,-9,-9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,503,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,1,9,-8,6,5,-8,-8,-8,-9,4
